DEPARTAMENTO,Promedio de IPC_ACUM,YEAR,MONTH
JUNÍN,1.207353788633092,2012,Diciembre
JUNÍN,0.13776634827333822,2012,Febrero
JUNÍN,0.302980351922455,2012,Julio
JUNÍN,0.2846636562543581,2012,Junio
JUNÍN,0.1102509855291367,2012,Marzo
JUNÍN,0.22968335752807656,2012,Mayo
JUNÍN,1.0528504713559816,2012,Noviembre
JUNÍN,0.8981080719385415,2012,Octubre
JUNÍN,0.7339942863805571,2012,Septiembre
LA LIBERTAD,2.0782358902929454,2012,Abril
LA LIBERTAD,2.3047254164647812,2012,Agosto
LA LIBERTAD,2.3511234113985147,2012,Diciembre
LA LIBERTAD,0.3131908621960333,2012,Febrero
LA LIBERTAD,1.979580907794265,2012,Julio
LA LIBERTAD,1.7351264034936698,2012,Junio
LA LIBERTAD,1.4334847097626113,2012,Marzo
LA LIBERTAD,1.9789847849965514,2012,Mayo
LA LIBERTAD,2.709771308825226,2012,Noviembre
LA LIBERTAD,2.4670964930783357,2012,Octubre
LA LIBERTAD,2.5838035583445107,2012,Septiembre
LAMBAYEQUE,1.7675545801055348,2012,Abril
LAMBAYEQUE,2.99731047970484,2012,Agosto
LAMBAYEQUE,2.8733765650289844,2012,Diciembre
LAMBAYEQUE,0.4582111436950198,2012,Febrero
LAMBAYEQUE,2.40681213488958,2012,Julio
LAMBAYEQUE,1.9664814375495387,2012,Junio
LAMBAYEQUE,1.1059031706973865,2012,Marzo
LAMBAYEQUE,2.1727409658429675,2012,Mayo
LAMBAYEQUE,2.9267811044148218,2012,Noviembre
LAMBAYEQUE,3.2107963702353692,2012,Octubre
LAMBAYEQUE,3.219671059621243,2012,Septiembre
LIMA,1.619153714395094,2012,Abril
LIMA,2.2168980718274445,2012,Agosto
LIMA,2.720847254651504,2012,Diciembre
LIMA,0.317994762439211,2012,Febrero
LIMA,1.7111974465975899,2012,Julio
LIMA,1.6191672606966079,2012,Junio
LIMA,1.091815385224959,2012,Marzo
LIMA,1.6559657887554868,2012,Mayo
LIMA,2.4653261741623633,2012,Noviembre
LIMA,2.6020253448540642,2012,Octubre
LIMA,2.765795702419338,2012,Septiembre
LORETO,0.9317852647379388,2012,Abril
LORETO,1.7816133278529378,2012,Agosto
LORETO,1.6647746005594821,2012,Diciembre
LORETO,0.6840451100018408,2012,Febrero
LORETO,1.2704778769584424,2012,Julio
LORETO,1.3252124144516042,2012,Junio
LORETO,0.7850366634355455,2012,Marzo
LORETO,1.1057938735848927,2012,Mayo
LORETO,1.7374556217278236,2012,Noviembre
LORETO,2.135609634939306,2012,Octubre
LORETO,2.081286411761396,2012,Septiembre
MADRE DE DIOS,1.6852876753965518,2012,Abril
MADRE DE DIOS,0.9615757357410937,2012,Agosto
MADRE DE DIOS,1.038164883428505,2012,Diciembre
MADRE DE DIOS,0.5482559788259733,2012,Febrero
MADRE DE DIOS,0.4628460848518534,2012,Julio
MADRE DE DIOS,0.6975437942022156,2012,Junio
MADRE DE DIOS,1.6387890238574565,2012,Marzo
MADRE DE DIOS,1.2205172719758406,2012,Mayo
MADRE DE DIOS,1.4481537019152668,2012,Noviembre
MADRE DE DIOS,1.4388349059037298,2012,Octubre
MADRE DE DIOS,1.3735607544676842,2012,Septiembre
MOQUEGUA,1.8262584983419927,2012,Abril
MOQUEGUA,2.322631016987431,2012,Agosto
MOQUEGUA,3.349869860979382,2012,Diciembre
MOQUEGUA,0.6901697444506638,2012,Febrero
MOQUEGUA,1.7636134216795107,2012,Julio
MOQUEGUA,1.4694957746206883,2012,Junio
MOQUEGUA,1.2366684476740941,2012,Marzo
MOQUEGUA,1.3774994544735075,2012,Mayo
MOQUEGUA,2.7874605721549983,2012,Noviembre
MOQUEGUA,2.642111734945707,2012,Octubre
MOQUEGUA,2.7600683632008516,2012,Septiembre
NACIONAL,1.5527794326326338,2012,Abril
NACIONAL,2.1825914954339276,2012,Agosto
NACIONAL,2.6526611568574276,2012,Diciembre
NACIONAL,0.34010203060919064,2012,Febrero
NACIONAL,1.6710322234221198,2012,Julio
NACIONAL,1.523248972190594,2012,Junio
NACIONAL,1.0578769284259604,2012,Marzo
NACIONAL,1.5823273495044976,2012,Mayo
NACIONAL,2.486775130315655,2012,Noviembre
NACIONAL,2.5550345159811805,2012,Octubre
NACIONAL,2.662184330904227,2012,Septiembre
PASCO,0.4416697076003784,2012,Abril
PASCO,0.9552002380341262,2012,Agosto
PASCO,2.0193227668513947,2012,Diciembre
PASCO,0.0644864117917976,2012,Febrero
PASCO,0.5060709988040646,2012,Julio
PASCO,0.40514430828200165,2012,Junio
PASCO,0.16575689604882982,2012,Marzo
PASCO,0.29492110629798507,2012,Mayo
PASCO,1.8112344650328849,2012,Noviembre
PASCO,1.6299601062909286,2012,Octubre
PASCO,1.548320048235774,2012,Septiembre
PIURA,2.128816525552102,2012,Abril
PIURA,2.4570023177061806,2012,Agosto
PIURA,2.148892048641926,2012,Diciembre
PIURA,0.8135960947387444,2012,Febrero
PIURA,2.0584548019856985,2012,Julio
PIURA,1.8454433526202907,2012,Junio
PIURA,1.8448012597315655,2012,Marzo
PIURA,2.0491634589090424,2012,Mayo
PIURA,2.501594632188342,2012,Noviembre
PIURA,2.2540917593871446,2012,Octubre
PIURA,2.4481808639305935,2012,Septiembre
PUNO,2.080173323054524,2012,Abril
PUNO,3.1816422681150147,2012,Agosto
PUNO,4.244375367304687,2012,Diciembre
PUNO,0.749232713486192,2012,Febrero
PUNO,2.6806754901224084,2012,Julio
